"blog_id","blog_name","blog_description","blog_url","blog_author","blog_author_twitter_username","blog_rss_feed","blog_tags",id,blog_RSSCrawl_active,blog_last_post_timestamp,"blog_crawlingType","created_at","updated_at",hours_bw_posts_median,hours_bw_posts_average,"reason_for_deactivation","blog_thumb"
"samarladebeirut","Samar la de Beirut","Whether you're the man-magnet diva or the girl next door; tall or short; skinny or curvy; blonde, brunette or maybe a redhead; fifteen or thirty-five this is the place for you. All you wanted to know about fashion, beauty, makeup and more. ","http://samarladebeirut.net","Samar Naim","samar_naim","http://www.samarladebeirut.net/feeds/posts/default?alt=rss","fashion, society",192,0,1415701320,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","samarladebeirut"
"salimallawzi","جدار .. برسم الإيجار","مدونة سليم اللوزي","http://salimallawzi.com/","سليم اللوزي","allawzisalim","http://salimallawzi.com/blog.php/?feed=rss2","activism, politics",193,0,1449349080,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"salimallawzi"
"umerkabboul","بلد التستوستيرون","وطن في طور النمو","http://umerkabboul.org/","umerkabboul","umerkabboul","http://umerkabboul.org/feed/","society, politics, arabic",194,0,1395259680,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","umerkabboul"
"donkeshotat","دونكيشوتات","إلى كل من يجد في نفسه روحًا دونكيشوتيّة","http://donkeshotat.wordpress.com/","Maryam Tarhini","maryamtarhini","http://donkeshotat.wordpress.com/feed/","politics",200,1,1504161420,"","0000-00-00 00:00:00","2017-08-31 06:41:20",NULL,NULL,NULL,"donkeshotat"
"ryanhamze","Ryan's Enchiridion","The doctrines and galimatias of a zetetic thoughtflake.","http://ryanhamze.com","Ryan Hamze","ryanhamze","http://ryanhamze.com/feed/","tech",196,1,1503899280,"","0000-00-00 00:00:00","2017-08-28 05:52:02",NULL,NULL,NULL,"ryanhamze"
"mellowshellie","The Bubbly Bibliomanic","Saved by Books","https://mellowshellie.wordpress.com","","TBBibliomanic","https://mellowshellie.wordpress.com/feed/","society",430,1,1506959280,"","2015-08-28 19:53:01","2017-10-02 15:51:47",NULL,NULL,NULL,"mellowshellie"
"smehio","اليوم- غدا","مدونة تحاول استقراء الغد من الدوريات الاستراتيجية","http://smehio.blogspot.com/","سعد محيو","saadmehio","http://smehio.blogspot.com/feeds/posts/default?alt=rss","politics",197,1,1462793340,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"smehio"
"joumananammour","Joumana Nammour","Media personality, anchor, journalist, anthropologist, and working mother and wife.","http://joumananammour.com/","Joumana Nammour","joumananammour","http://joumananammour.com/?feed=rss2","politics",198,0,1437035940,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","joumananammour"
"tlkabtmovies","Let's tlk abt movies","Reviews by Anis Tabet","http://tlkabtmovies.com/","Anis Tabet","anistabet23","http://tlkabtmovies.com/feed/","film, media",199,1,1507534560,"","0000-00-00 00:00:00","2017-10-09 07:41:27",NULL,NULL,NULL,"tlkabtmovies"
"projectrevolver","Revolver","Discover And Share Music","http://projectrevolver.org/","","projectrevolver","http://projectrevolver.org/feed/","media",201,1,1507279680,"","0000-00-00 00:00:00","2017-10-06 08:51:49",NULL,NULL,NULL,"1470308257-projectrevolver"
